"question_titles","MP"
"Number of Nursing Homes, Available Beds and Average Occupancy Rates","Louis Chua"
"Carbon Emission Targets for Companies Owned by Government Investment Entities","Louis Chua"
"Annual Range, Median and Average Commission Paid by Housing Developers to Appointed Sales Agents","Louis Chua"
"Enforcement of Restrictions on Work Pass Holders Working for More Than One Employer","Louis Chua"
"Foreigners on Student Pass Undertaking Part-time Work","Louis Chua"
"Average Interval between Exposure to COVID-19 Case and Issuance of Quarantine Order","Louis Chua"
"Applications for Digital Token Service Provider Licence","Louis Chua"
"Proposal for Limited Trial of Four-day Work Week in Singapore","Louis Chua"
"Companies' Compliance with Code of Corporate Governance","Louis Chua"
"Data Related to Number of Vacant HDB Rental Flats Available for Allocation","Louis Chua"
"Opportunistic Profiteering amongst Businesses during COVID-19 Pandemic","Louis Chua"
"Removal of Concession Allowing Non-subsidised Resale HDB Flats to be Used as Transitional Housing","Louis Chua"
"Detailed Breakdown of SMEs and Non-SMEs' Corporate Income Tax Collections","Louis Chua"
"New MNCs Granted Economic Expansion-related Tax Incentives","Louis Chua"
"Revenue and Taxation Rates for Foreign Companies with Profit Margins of Above 10%","Louis Chua"
"Implications for Singapore of G7 Agreement on Global Minimum Corporate Tax Rate","Louis Chua"
"GST Vouchers' Offset of GST Paid by Lower Income Households","Louis Chua"
"Breakdown of Net Investment Returns and Net Investment Income Components in Contributions to Government Budgets","Louis Chua"
"Approval for COVID-19 Vaccine Candidates and the Need for Booster Shots","Louis Chua"
"Rationale for Excluding Heavy Goods Vehicles and Very Heavy Goods Vehicles from Commercial Vehicle Emissions Scheme","Louis Chua"
"Rationale for Annual Additional Flat Component in Electric Car Road Tax","Louis Chua"
"Average Land Lease Duration for State Land Sold Over Last 10 Years","Louis Chua"
"Published Government Cash Surplus Numbers and Impact on Government's Fiscal Space and Decision on GST Rate Increase","Louis Chua"
"Rate of Redemption of SingapoRediscover Vouchers","Louis Chua"
"Limited Number of Exchange-Traded Funds under CPF Investment Scheme","Louis Chua"
"Factors to Determine Fees Charged for Administration of Un-nominated CPF Monies by Public Trustee","Louis Chua"
"Fare Revenues and Profitability of Thomson-East Coast Line Rail Operator","Louis Chua"
"Review of New Rail Financing Framework to Ensure Financial Sustainability of Rail Network","Louis Chua"
"Number and Percentage of Active and Inactive CPF Members who have Met Different Retirement Sums Upon Turning 55","Louis Chua"
"Take-up Rate of National Adult Immunisation Schedule in 2020","Louis Chua"
"Number and Types of Stay-Home-Notice and Quarantine Order Breaches","Louis Chua"
"Managing Number of SHN Hotels to Balance Cost Considerations and Demand","Louis Chua"
"Considerations for Setting Aside Green Space in Urban Development","Louis Chua"
"Updates to Work-from-home Advisory in Phase Three of Re-opening","Louis Chua"
"Number and Capacity of New Data Centres","Louis Chua"
"Maintaining Singapore's Energy Supply Reliability","Louis Chua"
"Details of COVID-19 Vaccination Roll-out Plan and Concerns on Efficacy of COVID-19 Vaccines","Louis Chua"
"Details of COVID-19 Vaccination Roll-out Plan and Concerns on Efficacy of COVID-19 Vaccines","Louis Chua"
"Utilisation Rate of Private Hire Cars Versus Taxis and Plans to Standardise Regulations for Both","Louis Chua"
"Data on Profile of Private Hire Car Drivers","Louis Chua"
"Impact of National Wages Council 2020/2021 Guidelines on CPF Contributions on Local Employees","Louis Chua"
"Cases under Restriction on Re-issue of Option to Purchase for Same Unit to Same Purchaser","Louis Chua"
"Update on Fire Incident in MRT Tunnel on 16 October 2020","Louis Chua"
"Profile of Employees Retrenched due to COVID-19 Pandemic","Louis Chua"
"Abuse of Jobs Support Scheme","Louis Chua"
"Measures to Ease Singapore into Further Re-opening after COVID-19 Circuit Breaker","Louis Chua"
"Investigation into Possible Subletting of JTC Premises to 26,000 Business Entities Without JTC's Approval","Louis Chua"
"Ensuring Government Agencies' Compliance with New Grants Governance Framework","Louis Chua"
"Singaporeans Employed in Financial Services Sector","Louis Chua"
"Data on Employees who have been Supported by Jobs Support Scheme","Louis Chua"
"Building of Further Agri-tech and Urban Farm Clusters to Ensure Food Supply","Dennis Tan"
"Discussions to Revive Singapore-Kuala Lumpur High Speed Rail Project","Dennis Tan"
"Stakeholder Engagement Exercises to Update Singapore’s Nationally Determined Contribution Pledges for COP27","Dennis Tan"
"Plans to Jumpstart Aviation Sector, Ensure Success of Singapore AirShow 2022 and Extend Vaccinated Travel Lanes Given Rise of COVID-19 Omicron Variant","Dennis Tan"
"Update on COVID-19 Treatments, Vaccination Efficacy and Roll-out for Children and Booster Jabs","Dennis Tan"
"Assessment of Effects of COVID-19 Vaccines on Younger Children and Singapore's Decision to Extend Vaccination to Younger Children","Dennis Tan"
"Expected ComCare Assistance Payouts in FY2021","Dennis Tan"
"Assessment of Significance of Five Power Defence Arrangements in View of Its 50th Anniversary","Dennis Tan"
"Measures to Facilitate and Expedite Entry of Migrant Domestic Workers to Meet Demand","Dennis Tan"
"Publication of Public Consultation Exercises for Proposed Revisions to Carbon Tax","Dennis Tan"
"Review of Conditions in Migrant Worker Dormitories following Incident at Westlite Jalan Tukang Dormitory","Dennis Tan"
"Updated Protocols for COVID-19 Patients, Vaccination for Children and Delays in Response Time by Government COVID-19 Teams","Dennis Tan"
"Data on Efficacy of Pfizer-BioNtech COVID-19 Vaccine for Children aged five to 11","Dennis Tan"
"Lessons Learnt from Abrupt Exit of oBike and New Requirements for Licensees for Similar Public-subscribed Transport Schemes","Dennis Tan"
"Shorter Wait Times for Households who Need Migrant Domestic Workers for Care Needs","Dennis Tan"
"Update on Government Decisions and Measures as Singapore Moves into Endemic Stage of COVID-19 Situation","Dennis Tan"
"Impact of AUKUS Nuclear Submarine Deal on Singapore and Use of Singapore's Port Facilities","Dennis Tan"
"Singapore's Assessment of Foreign Policy Implication with Return of Taliban as Government in Afghanistan","Dennis Tan"
"Measures to Ensure only Fully COVID-19 Vaccinated Visitors Can Enter Singapore","Dennis Tan"
"Update on Booster Programme Rollout and Help for Pregnant and Post-partum Women to Get COVID-19 Vaccine","Dennis Tan"
"Requirement for Management Corporation Strata Titles to Clean Common Touch-points in Immediate Vicinity of Positive COVID-19 Cases","Dennis Tan"
"Names of Companies Involved in Case where Former LTA Deputy Group Director Was Jailed for Taking Bribes","Dennis Tan"
"Number of Residents Registered for Sinovac Vaccine under Special Access Route and Implication for Residents who Choose non-mRNA Vaccines for Non-medical Reasons","Dennis Tan"
"Support for Food Catering Businesses","Dennis Tan"
"Transportation Infrastructure Plans to Support Build-up of Tuas Mega Port and Increased Business Activities in Tuas","Dennis Tan"
"Improving Safe Management Measures in KTV Bars and Nightlife Establishments","Dennis Tan"
"Access to Bank Accounts that Had Been Frozen due to Alleged Scams","Dennis Tan"
"Update on Introduction and Rollout of EV Common Charger Grant","Dennis Tan"
"Update on COVID-19-related Processes for Visitor Entry and Airport Worker Deployment","Dennis Tan"
"People’s Liberation Army Air Force Aircraft that Flew Through Singapore’s Flight Information Region on 31 May 2021","Dennis Tan"
"Impact of UN General Assembly's Arms Embargo on Myanmar on Singapore and ASEAN's Efforts Regarding Myanmar","Dennis Tan"
"Additional Safety Measures for Protection of NSmen undergoing In-Camp Training against COVID-19","Dennis Tan"
"Prior Consultation with Affected Residents for Acquisition of 68-74 Thomson Road","Dennis Tan"
"Real-time Advisories on Conditions along Flood-prone Roads","Dennis Tan"
"Further Actions by ASEAN for Myanmar's Political Situation following ASEAN Leaders' Meeting on 24 April 2021","Dennis Tan"
"Public Education Efforts on Reducing Single-use Plastics","Dennis Tan"
"Singapore's Further Plans for COVID-19 Vaccination and Prevention of Surge in Community Cases Given New Virus Variants","Dennis Tan"
"Regulations to Ensure Safety for Migrant Workers Ferried in Lorries","Dennis Tan"
"Training and Financial Support for Re-skilling of Oil and Gas Workers","Dennis Tan"
"Impact of Transition to Low-carbon Emission Regime on Petrochemical Industries and Workers","Dennis Tan"
"Further Public Education on Safe Use of Park Connector Network","Dennis Tan"
"Carbon Emissions of Ride-Hailing Industry and Proposal to Transit Industry to Electric Vehicles","Dennis Tan"
"Environmental Impact Assessments for Industrial Developments","Dennis Tan"
"Environmental Impact Study for Sungei Kadut Eco-district (Initial update on clearing of forested area at Kranji site)","Dennis Tan"
"Over-the-counter COVID-19 Diagnostic Test Kits","Dennis Tan"
"Product Labelling on Packaged Food with Meat from Animals that have Consumed Ractopamine in Their Feed","Dennis Tan"
"Forensic Tests on Faulty Trip Coils that led to MRT Disruption of 14 October 2020","Dennis Tan"
"Number of Piracy Incidents in Straits of Singapore in 2020","Dennis Tan"
"Progress of Plan to Plant 1 Million Trees","Dennis Tan"
"Update on Remaining Number of HDB Blocks that Not Eligible for Lift Upgrading Programme","Dennis Tan"
"Considerations for Setting Aside Green Space in Urban Development","Dennis Tan"
"Progress of Nation-wide COVID-19 Vaccination Programme","Dennis Tan"
"Lessons for Maritime Sector from Bunker Vessel NewOcean 6's COVID-19 Cluster","Dennis Tan"
"Improving Disclosure Obligations and Corporate Governance Transparency for Singapore Companies","Dennis Tan"
"Assessment for Forest Areas like Clementi Forest that are Earmarked for Potential Development","Dennis Tan"
"Expenses Incurred to-date by Singapore on High Speed Rail Project","Dennis Tan"
"Details of COVID-19 Vaccination Roll-out Plan and Concerns on Efficacy of COVID-19 Vaccines","Dennis Tan"
"Lessons on Operations and Safe Distancing Measures Gleaned from 14 October 2020 MRT Service Disruption Incident","Dennis Tan"
"Maximum Residue Limits for Ractopamine in Meat Imported into Singapore","Dennis Tan"
"Impact of COVID-19 Pandemic on SAF Operations and Training","Dennis Tan"
"Plans to Help Aviation Sector Recover from COVID-19 Impact","Dennis Tan"
"Second Environmental Impact Assessment on Bukit Batok Hillside Park Development Project","Dennis Tan"
"Update on Next-generation ERP System","Dennis Tan"
"Number of COVID-19 Cases amongst Crew of Ships Calling at Singapore Ports","Dennis Tan"
"Amount Disbursed under Self-employed Relief Scheme and Further Measures to Help Self-employed","Dennis Tan"
"Cleaning of Debris Washed Ashore Due to Monsoon Season","Dennis Tan"
"Impact of COVID-19 Pandemic on Construction of Extended Cycling Path Network","Dennis Tan"
"Singapore’s Doctor- and Nurse-to-population Ratios and Planned Manpower Increases in Public Healthcare System in Next Five Years","Gerald Giam"
"Rejections for Parenthood Provisional Housing Scheme Applications due to Exceeding of Salary Limits","Gerald Giam"
"Proposal for Foldable Wheelchair Lifts to be Installed at HDB Blocks without Lift Access on Every Floor","Gerald Giam"
"Courage Fund Eligibility for COVID-19-positive Persons from Lower-income Households Recovering at Home","Gerald Giam"
"Help to Alleviate Impact on Elderly and Disabled Commuters when Public Bus Services are Re-routed or Discontinued","Gerald Giam"
"Vaccination for Primary School Students and Possibility of Vaccination-differentiated Measures for Preschools and Primary Schools","Gerald Giam"
"Update on COVID-19 Treatments, Vaccination Efficacy and Roll-out for Children and Booster Jabs","Gerald Giam"
"Ensuring Jobs Support Scheme Payments are Used Directly for Wage Support and Not for Executive Directors' Remuneration or Bonuses","Gerald Giam"
"Collection of Free Antigen Rapid Test Kits from Vending Machines for Self-tests Given Emphasis on Personal Responsibility","Gerald Giam"
"Support for Industry and Consumers Given Higher Electricity Prices and Recent Exit of Electricity Retailers","Gerald Giam"
"Review of Conditions in Migrant Worker Dormitories following Incident at Westlite Jalan Tukang Dormitory","Gerald Giam"
"Technical Assistance from HDB to Reduce Diffusion of Second-hand Smoke into Flats","Gerald Giam"
"Review of Fraudulent Credit Card Transactions Involving Diversion of One-time Passwords Prior to September 2020","Gerald Giam"
"Retired Senior SAF Officers Holding Senior Positions in Public Sector Organisations","Gerald Giam"
"Educating Singaporeans on Singapore’s Core National Interests Given Growing Complexity of International Developments","Gerald Giam"
"Updated Protocols for Serving Quarantine Orders at Home and Support Measures for Persons with Disabilities, the Young and the Elderly","Gerald Giam"
"Impact of Local Qualifying Salary Requirement and Expansion of Progressive Wage Model on Costs, Productivity and Jobs","Gerald Giam"
"Causes for Recent COVID-19 Infections amongst Bus Captains at Bus Interchanges","Gerald Giam"
"Recipient Countries of COVID-19 Vaccine Donations by Singapore","Gerald Giam"
"Consultations and Assessments on Contraindications for mRNA COVID-19 Vaccines","Gerald Giam"
"Debarment of Parties Involved in Case where LTA Deputy Group Director was Convicted of Receiving $1.24 million in Bribes","Gerald Giam"
"Awarding of Grades to Students who Miss National Examinations Due To COVID-19 Quarantine Order","Gerald Giam"
"Annual Declaration of Non-indebtedness by Public Service Employees and Limits on Unsecured Loans","Gerald Giam"
"Proposal to Distribute Still-functional Fitness Trackers Purchased for National Steps Challenge","Gerald Giam"
"Regulatory Approval for Novavax Vaccine and Proposal for Short-term Visit Pass Holders Staying with Long-term Residents to be Offered Vaccination in Singapore","Gerald Giam"
"Enforcement against Illegal Vice Activities and Making Sure Such Activities Are not A Source of COVID-19 Spread","Gerald Giam"
"Impact of En Bloc Sales on Environmental Damage and Rise in Housing Prices","Gerald Giam"
"Number of Singaporean Students Admitted for Computer Science Degrees at Local Universities and Sufficiency of Such Numbers","Gerald Giam"
"Incidents of Foreign State-sponsored Disinformation Campaigns about COVID-19 Vaccines and Associated Health Issues on Private Messaging Networks","Gerald Giam"
"Impact of Revising Wages for Cleaning Sector on Cleaners and Workers in Other Sectors","Gerald Giam"
"People’s Liberation Army Air Force Aircraft that Flew Through Singapore’s Flight Information Region on 31 May 2021","Gerald Giam"
"Mode of Transport for Travellers Arriving into Singapore without COVID-19 Polymerase Chain Reaction Results","Gerald Giam"
"Mandatory Pre-departure Polymerase Chain Reaction Tests for Individuals of All Ages Arriving in Singapore from Higher Risk Regions","Gerald Giam"
"Early Warnings of Impending Health Concerns by Singapore’s Overseas Missions","Gerald Giam"
"Streamlining Process of Making Simple Wills","Gerald Giam"
"Last Drawn Salary Cap for Employment Assistance Package","Gerald Giam"
"Submission of Reports on Smoking or Noise Disturbances by Neighbours through OneService App","Gerald Giam"
"Recovery of Erroneous $370 million Jobs Support Scheme Payouts","Gerald Giam"
"Enterprise Singapore's Power to Recall Products with Safety Risks","Gerald Giam"
"Criteria for Inclusion of Medical Specialists into Insurer's Panel for Integrated Shield Plans","Gerald Giam"
"Plagiarisation of ""Count On Me Singapore"" Song and Actions against Infringements of National Symbols","Gerald Giam"
"Obligations for Employers to Prevent Workplace Sexual Harassment","Gerald Giam"
"Ensuring Students have Basic Swimming Proficiency and Water Survival Skills to Minimise Drowning Incidents","Gerald Giam"
"Measures to Prevent Abuse of Foreign Domestic Workers","Gerald Giam"
"Environmental Impact Assessments for Industrial Developments","Gerald Giam"
"Reasons for Government's Requests to Facebook for Information on Accounts in 2020","Gerald Giam"
"Update on Incident where Singapore National Eye Centre Staff was Given Wrong Dosage of COVID-19 Vaccine","Gerald Giam"
"Requests for Consular Assistance from Singaporeans in Myanmar Following Military Coup","Gerald Giam"
"Complaints about and Methods to Curb Crow Populations","Gerald Giam"
"Cancellation or Renewal of Construction Sector Work Permits Close to Expiry Dates in Second Half of 2020","Gerald Giam"
"Responsibility for Paying Temporary Development Levy","Gerald Giam"
"Action against Advertisements of Illegal Remote Gambling or Loan Services on Social Media, SMS and Messaging Apps","Gerald Giam"
"Progress of Nation-wide COVID-19 Vaccination Programme","Gerald Giam"
"Tie-breakers in Computerised Allocation of Secondary School Places","Gerald Giam"
"Rezoning Land Acquired for Terminated Kuala Lumpur-Singapore High Speed Rail Project","Gerald Giam"
"Maintaining Singapore's Energy Supply Reliability","Gerald Giam"
"Rejections of COVID-19 Support Grant Applications Due to Inability to Produce Retrenchment Letters","Gerald Giam"
"Rationale for Support Threshold in Jobs Growth Incentive Scheme","Gerald Giam"
"Safeguards for Elderly and Vulnerable Users as More Government Services Move to SingPass Digital Platform","Gerald Giam"
"Legal Provisions and Safeguards in Using TraceTogether Data","Gerald Giam"
"Conditions on Foreign Companies to Develop Singapore Employees","Gerald Giam"
"Undue Influence of Pharmaceutical Companies' Marketing Incentives on Healthcare Providers","Gerald Giam"
"TraceTogether Tokens for Seniors","Gerald Giam"
"Property Owners Levied Non-owner-occupier Property Tax Rates Despite Residing in Their Own Homes","Gerald Giam"
"Submission of Online Applications for COVID-19 Support Grant Limited to Working Hours","Gerald Giam"
"Reducing Volume and Frequency of Pre-recorded Public Announcements on MRT Trains and in MRT Stations","Gerald Giam"
"Data on Jobs Support Scheme Beneficiaries","Gerald Giam"
"Adjustments in Medishield Life Premiums Given Difficult Climate","Gerald Giam"
"Timeline between Issuance of Summonses for LTA Offences and Date of Offence","Gerald Giam"
"Impact on MediSave Withdrawal Limits When MediShield Life Premium Payments Rise","Gerald Giam"
"Impact of Controlled Entry and Exit Points in Buildings for SafeEntry Scanning on Fire Safety","Gerald Giam"
"Delay in Roll-out of Distance-based Charging in Next-generation ERP System","Gerald Giam"
"SGUnited Traineeship Applications and Matches","Gerald Giam"
"Complaints of Defects in New HDB BTO Flats","Gerald Giam"
"Expansion of Domestic Waste Recycling Industry","Gerald Giam"
"Percentage of Singapore's Recyclable Waste Exported","Gerald Giam"
"Statistics for COVID-19 Community Testing","Gerald Giam"
"Usage and Effectiveness of TraceTogether App","Gerald Giam"
"Number of Singaporeans Who Have Given Up Smoking in Past Two Years and Proposal to Consider Total Ban on Sale of Tobacco Products","He Ting Ru"
"Measures to Enhance Cybersecurity to Counter State-backed Entities","He Ting Ru"
"Specialised Mental Health and Whistle-blowing Support for Healthcare Workers","He Ting Ru"
"Update on COVID-19 Treatments, Vaccination Efficacy and Roll-out for Children and Booster Jabs","He Ting Ru"
"Framework for Keeping Debt Levels Sustainable for Autonomous Universities in Light of NTU's Recent Bond Issue","He Ting Ru"
"Parking Charges in School during COVID-19 Pandemic and Home-based Learning Days","He Ting Ru"
"Number of and Outcomes for COVID-19 Patients Eligible for Home Recovery Programme and Rate of Infection to Their Family Members","He Ting Ru"
"Deployment of Riot Police at Jalan Tukang Westlite Dormitory on 13 October 2021","He Ting Ru"
"Updated COVID-19 Healthcare and Treatment Protocols and Measures to Ensure Adequate Rest and Leave for Healthcare Professionals","He Ting Ru"
"Impact of COVID-19-related Movement Restrictions on Mental Health of Migrant Workers","He Ting Ru"
"Response to Rating of Singapore by Climate Action Tracker as ""Critically Insufficient""","He Ting Ru"
"Sufficiency of Number of Practising Psychiatrists and Psychologists in Singapore","He Ting Ru"
"Tracking Food Insecurity Experienced by some Singaporean Households","He Ting Ru"
"Appointment of New Chief Executive Officer of Early Childhood Development Agency","He Ting Ru"
"Considerations to Lower Voting Age to 18 in Singapore","He Ting Ru"
"Updated Protocols for Serving Quarantine Orders at Home and Support Measures for Persons with Disabilities, the Young and the Elderly","He Ting Ru"
"Update on Government Decisions and Measures as Singapore Moves into Endemic Stage of COVID-19 Situation","He Ting Ru"
"Impact of Local Qualifying Salary Requirement and Expansion of Progressive Wage Model on Costs, Productivity and Jobs","He Ting Ru"
"Update on Booster Programme Rollout and Help for Pregnant and Post-partum Women to Get COVID-19 Vaccine","He Ting Ru"
"Mental Well-being of Teachers Given Additional Counselling Roles","He Ting Ru"
"Reasons for Merger and Alignment Plans for Yale-NUS College and other NUS Schools, and Impact on Students' Educational Experience","He Ting Ru"
"Review of Targets in Singapore Green Plan following Sixth Assessment Report of UN’s Intergovernmental Panel on Climate Change","He Ting Ru"
"Guidelines for Media when Approaching Those Affected by Traumatic Event","He Ting Ru"
"Proposal to Update National Survey on Informal Care to Reflect Changing Care Patterns","He Ting Ru"
"Requests for Removal of Bee Hives","He Ting Ru"
"Regulatory Approval for Novavax Vaccine and Proposal for Short-term Visit Pass Holders Staying with Long-term Residents to be Offered Vaccination in Singapore","He Ting Ru"
"Dedicated Care for Long-COVID-19 Patients","He Ting Ru"
"Risk Level for Children Aged 12 and Under with Shift Back to Phase Two (Heightened Alert)","He Ting Ru"
"""Make-up Pay"" Mechanism for Political Office Holders","He Ting Ru"
"Impact of UN General Assembly's Arms Embargo on Myanmar on Singapore and ASEAN's Efforts Regarding Myanmar","He Ting Ru"
"Reports of Waste Collection Lapses","He Ting Ru"
"Changes to Safe Management Measures when COVID-19 Situation Transitions from Pandemic to Endemic Status","He Ting Ru"
"Extension and Utilisation of Current Business Support Schemes","He Ting Ru"
"Restoration of Names to Registers of Electors","He Ting Ru"
"Measures to Ensure Accurate Disbursement of Funds for Support Schemes","He Ting Ru"
"Median and Mean Amounts Paid Out Erroneously under Jobs Support Scheme and Recovery Efforts","He Ting Ru"
"Regulations to Ensure Safety for Migrant Workers Ferried in Lorries","He Ting Ru"
"Supply Chain Audit to Evaluate Environmental Impact of Any Upcoming Land Reclamation Projects","He Ting Ru"
"Review of Singapore’s Ratification of Kigali Amendment to the Montreal Protocol on Substances that Deplete the Ozone Layer","He Ting Ru"
"Number of Successful Applications for Home Caregiving Grant","He Ting Ru"
"Assessment Criteria in Granting Approval to Organise In-Person Global Conferences Amidst COVID-19 Pandemic","He Ting Ru"
"Measures to Prevent World Economic Forum’s Special Annual Meeting In Singapore from Becoming Super Spreader Event","He Ting Ru"
"Economic Agencies' Targets for Promotion of Green Businesses in Singapore","He Ting Ru"
"Review of Legal Profession Act to Clarify Jurisdiction of The Courts and Routes of Reviews and Appeals","He Ting Ru"
"POFMA Office's Actions In Regard To Misinformation about COVID-19 and COVID-19 Vaccination","He Ting Ru"
"Impact on Jobs and Trades with Shift Away from Fossil Fuel and Traditional Automotive Industries","He Ting Ru"
"Guidelines on Students with Gender Dysphoria","He Ting Ru"
"Considerations for Setting Aside Green Space in Urban Development","He Ting Ru"
"Bullying in Schools","He Ting Ru"
"Details of COVID-19 Vaccination Roll-out Plan and Concerns on Efficacy of COVID-19 Vaccines","He Ting Ru"
"Resources and Training for Teachers to Ensure Minimal Disruption to Education Outcomes with Blended Online and Classroom Learning","He Ting Ru"
"Suspected ""Long COVID-19"" Cases in Singapore","He Ting Ru"
"Protection of Data Collected for Next-generation ERP System","He Ting Ru"
"Non-English Language Provisions for SGUnited Skills Programmes","He Ting Ru"
"Clearer Communications for Alleged Sexual Misconduct Incidents at Autonomous Universities","He Ting Ru"
"Rationale for Shareholding Threshold to Qualify SMEs for Grants","He Ting Ru"
"Reasons for Making TraceTogether Compulsory","He Ting Ru"
"Regular Reports and Training for Educators on Sexual Misconduct on Campuses","He Ting Ru"
"Number of Infant and Childcare Places and Number of Citizens Born in Last Five Years (Broken down by URA planning areas)","He Ting Ru"
"Number of Domestic Abuse Cases Since Start of Circuit Breaker Period","He Ting Ru"
"Update on Next-generation ERP System","He Ting Ru"
"Number of Families Helped by KiFAS Grants and Proposal for Extension of the Scheme","He Ting Ru"
"Promoting Green Financing amongst SMEs","He Ting Ru"
"Number of Women Amongst Those Retrenched in 2020","He Ting Ru"
"Developments on Fair Consideration Framework and Measures on Discriminatory Hiring Practices","He Ting Ru"
"Updates on Unemployment and Retrenchment Numbers and Adoption of Schemes such as SGUnited Traineeships","He Ting Ru"
"Measures to Help Singaporeans Cope with Rising Inflation and Impact of Government's Fiscal Support for Businesses and Households on Inflation","Jamus Lim"
"Plans for Continuing with TraceTogether as COVID-19 Contact Tracing Tool","Jamus Lim"
"Proposal for Opt-in Default Cooling-off Period for Cross-border Fund Transfers of Large Amounts to Prevent Fraud","Jamus Lim"
"Implication of New Protocol for PCR Test Results for Recovered COVID-19 Patients","Jamus Lim"
"Limits to Maximum Number of Migrant Domestic Worker per Household Given Impact of COVID-19 Restrictions on Entry of New Migrant Workers","Jamus Lim"
"Adequacy of Planned Increases in ICU and Medical Beds to Cope with Potential Surge in COVID-19 Cases and Mental Well-being of Healthcare Professionals","Jamus Lim"
"Review Restrictions to Facilitate Entry of Non-traditional Source Migrant Workers who Satisfy Necessary Health-related Entry Requirements","Jamus Lim"
"Update on HSA's Consideration of COVID-19 Vaccines for Children and Progress of Obtaining Approval","Jamus Lim"
"Reasons for Recent Sharp Decline in Singapore Permanent Resident Population and Impact on Job Formation","Jamus Lim"
"Number of and Outcomes for COVID-19 Patients Eligible for Home Recovery Programme and Rate of Infection to Their Family Members","Jamus Lim"
"Arrangements for Students Served a Quarantine Order or Stay-Home Notice to Take National Examinations","Jamus Lim"
"Updated Protocols for Serving Quarantine Orders at Home and Support Measures for Persons with Disabilities, the Young and the Elderly","Jamus Lim"
"Update on Booster Programme Rollout and Help for Pregnant and Post-partum Women to Get COVID-19 Vaccine","Jamus Lim"
"Easing Financial Support for Sectors Affected by COVID-19 Pandemic","Jamus Lim"
"Estimated Value and Impact of Private Tuition and Enrichment Industry for School-going Children","Jamus Lim"
"Reasons for Merger and Alignment Plans for Yale-NUS College and other NUS Schools, and Impact on Students' Educational Experience","Jamus Lim"
"Revising Start Time for Schools","Jamus Lim"
"Promoting More Widespread Remuneration Disclosures by Listed Companies","Jamus Lim"
"Plans for Marine and Offshore Engineering Sector, Singapore's Carbon Utilisation and Storage, and Low-carbon Hydrogen Sector","Jamus Lim"
"Help for Individuals Affected by Bank-related Cyber Scams or Unauthorised Bank Transactions","Jamus Lim"
"Increasing Offering of Non-Chinese Official Languages at Preschools in Sengkang","Jamus Lim"
"Developing Singapore Into Global Trading Hub for Climate-related Services","Jamus Lim"
"Encouraging Hawkers and Food Vendors to Default to Non-inclusion of Disposable Utensils for Takeout Orders","Jamus Lim"
"Impact of Change in Criterion for Rapid and Immersive Skill Enhancement Programme","Jamus Lim"
"Delaying or Cancelling School Mergers to Evaluate Effectiveness of Smaller Class Size","Jamus Lim"
"Replace Programme for Sigma/LG Lifts after HDB Ban on Sigma Elevator Since 2015","Jamus Lim"
"Update on Singapore's COVID-19 Vaccination Programme","Jamus Lim"
"Proof of COVID-19 Vaccination for Singaporeans","Jamus Lim"
"Proposal to Review COE Renewal Intervals Given Plan to Transit to Low-emissions Vehicles","Jamus Lim"
"Number of Requests for Third HDB Loan","Jamus Lim"
